name,from,to,biography,biography_eng,url,bishop_type,orig_url_page
"Christoph von Stadion
",1517,1543,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Eglof von Knöringen
",1573,1575,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Marquard II. vom Berg
",1576,1591,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Otto von Gemmingen
",1591,1598,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich V. von Knöringen
",1599,1646,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Sigismund Franz von Habsburg
",1646,1665,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Christoph von Freyberg
",1666,1690,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Alexander Sigmund von Pfalz-Neuburg
",1690,1737,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Franz Schenk von Stauffenberg
",1737,1740,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Ignaz Philipp von Hessen-Darmstadt
",1740,1768,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Clemens Wenzeslaus von Sachsen
",1768,1812,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Franz Friedrich von Sturmfeder
",1812,1818,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Franz Karl Joseph Prinz zu Hohenlohe-Waldenburg-Schillingsfürst
",1818,1819,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Franz Friedrich von Sturmfeder
",1819,1821,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Maria Freiherr von und zu Fraunberg
",1821,1824,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Ignaz Albert von Riegg
",1824,1836,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Peter von Richarz
",1836,1855,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Michael von Deinlein
",1856,1858,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Pankratius von Dinkel
",1858,1894,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Petrus von Hötzl
",1895,1902,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Maximilian von Lingg
",1902,1930,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Kumpfmüller
",1930,1949,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Freundorfer
",1949,1963,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Josef Stimpfle
",1963,1992,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Viktor Josef Dammertz
",1993,2004,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Walter Mixa
",2005,2010,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Konrad Zdarsa
",2010,"
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Dionysius
",300,"
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Narzissus
",300,"
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Perewelf
","
","
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Tagebert
","
","
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Manno
","
","
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Wicho
","
","
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Zeizzo
","
","
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Marchmann
","
","
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Wikterp
",738,772,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Tozzo
",772,778,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heiliger Simpert
",778,807,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hanto
",807,815,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Nidker
",816,830,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Udalmann
",830,832,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Lanto
",833,860,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Witgar
",861,887,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Adalbero
",887,909,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hiltin
",909,923,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Ulrich I.
",923,973,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich I.
",973,982,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Eticho
",982,988,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Liutold
",988,996,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Gebehard
",996,1000,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried I.
",1001,1006,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Bruno
",1006,1029,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Eberhard I.
",1029,1047,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich II.
",1047,1063,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Embrico
",1063,1077,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Wigolt
",1077,1088,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried II.
",1088,1096,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hermann von Vohburg
",1096,1133,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Walter I. von Dillingen
",1133,1152,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Konrad von Hirscheck
",1152,1167,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hartwig I. von Lierheim
",1167,1184,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Udalschalk
",1184,1202,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hartwig II.
",1202,1208,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried III. von Rechberg
",1208,1227,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siboto von Seefeld
",1227,1247,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hartmann von Dillingen
",1248,1286,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried IV. von Algertshausen
",1286,1288,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Wolfhard von Roth
",1288,1302,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Degenhard von Hellenstein
",1303,1307,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Friedrich I. Spät von Faimingen
",1309,1331,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Ulrich II. von Schönegg
",1331,1337,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich III. von Schönegg
",1337,1348,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Marquard I. von Randeck
",1348,1365,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Walter II. von Hochschlitz
",1365,1369,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Schadland
",1371,1372,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Burkhard von Ellerbach
",1373,1404,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Eberhard II. von Kirchberg
",1404,1413,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Friedrich von Grafeneck
",1413,1414,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Anselm von Nenningen
",1414,1423,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Peter von Schaumberg
",1424,1469,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann II. von Werdenberg
",1469,1486,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Friedrich II. von Zollern
",1486,1505,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich IV. von Lichtenau
",1505,1517,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Christoph von Stadion
",1517,1543,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Eglof von Knöringen
",1573,1575,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Marquard II. vom Berg
",1576,1591,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Otto von Gemmingen
",1591,1598,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich V. von Knöringen
",1599,1646,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Sigismund Franz von Habsburg
",1646,1665,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Christoph von Freyberg
",1666,1690,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Alexander Sigmund von Pfalz-Neuburg
",1690,1737,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Franz Schenk von Stauffenberg
",1737,1740,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Ignaz Philipp von Hessen-Darmstadt
",1740,1768,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Clemens Wenzeslaus von Sachsen
",1768,1812,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Franz Friedrich von Sturmfeder
",1812,1818,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Franz Karl Joseph Prinz zu Hohenlohe-Waldenburg-Schillingsfürst
",1818,1819,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Franz Friedrich von Sturmfeder
",1819,1821,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Maria Freiherr von und zu Fraunberg
",1821,1824,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Ignaz Albert von Riegg
",1824,1836,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Peter von Richarz
",1836,1855,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Michael von Deinlein
",1856,1858,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Pankratius von Dinkel
",1858,1894,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Petrus von Hötzl
",1895,1902,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Maximilian von Lingg
",1902,1930,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Kumpfmüller
",1930,1949,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Joseph Freundorfer
",1949,1963,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Josef Stimpfle
",1963,1992,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Viktor Josef Dammertz
",1993,2004,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Walter Mixa
",2005,2010,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Konrad Zdarsa
",2010,"
",,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Christian Schreiber
",1930,1933,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Nikolaus Bares
",1933,1935,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Konrad Kardinal von Preysing
",1935,1950,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Wilhelm Weskamm
",1951,1956,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Julius Kardinal Döpfner
",1957,1961,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Alfred Kardinal Bengsch
",1961,1979,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Joachim Kardinal Meisner
",1980,1988,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Georg Kardinal Sterzinsky
",1989,1994,,,,0,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
1,1994,2011,,,,1,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
2,2011,2014,,,,1,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
3,2015,"
",,,,1,Liste_der_Bisch%C3%B6fe_und_Erzbisch%C3%B6fe_von_Berlin
"Adalbert von Pommern
",1140,1163/1164,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Konrad I. von Salzwedel
",1163/1164,1186,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Siegfried I.
",1186,1191,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Sigwin
",1191,1219,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Konrad II.
",1219,1233,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Konrad III.
",1233,1241,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"
",1241,1244,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Wilhelm
",1244,1251,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Hermann von Gleichen
",1251,1288/1289,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Jaromar von Rügen
",1289,1293/1294,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Wizlaw
",1294,1296,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Petrus
",1296,1300,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Heinrich von Wacholz
",1302,1317,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Konrad IV.
",1317,1324,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Arnold von Eltz
",1324,1330,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Friedrich von Eickstedt
",1330,1343,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Johann I.
",1343,1370,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Philipp von Rehberg
",1370,1385,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Johannes II. Wilcken
",1385,1386,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Johannes III. Brunonis
",1386,1394,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Johann IV., Herzog von Schlesien-Oppeln
",1394,1398,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Nikolaus von Schippenbeil
",1398,1410,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Magnus, Herzog von Sachsen-Lauenburg
",1410,1424,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Siegfried II. Bock
",1424,1446,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Henning Iwen
",1446,1468,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Ludwig von Eberstein
",1469,1480,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Nikolaus von Tüngen
",1471,1479,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Marinus de Fregeno
",1479,1482,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Angelus Geraldini
",1482,1485,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Benedikt von Waldstein
",1485,1498,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Martin Carith
",1498,1521,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Erasmus von Manteuffel-Arnhausen
",1521,1544,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Bartholomäus Swawe
",1545,1549,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Martin Weiher von Leba
",1549,1556,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Johann Friedrich, Herzog von Pommern-Wolgast
",1557,1574,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Kasimir VI., Herzog von Pommern
",1574,1602,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Franz, Herzog von Pommern
",1602,1618,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Ulrich, Herzog von Pommern
",1618,1622,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Bogislaw XIV., Herzog von Pommern
",1623,1637,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Ernst Bogislaw von Croy
",1637,1650,,,,0,Liste_der_Bisch%C3%B6fe_von_Cammin
"Burchard
",968,969,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Volkold
",969,992,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Eido I.
",992,1015,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Eilward
",1016,1023,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Hugbert
",1023,1024,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Dietrich I.
",1024,1040,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Eido II.
",1040,1046,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Meinward
","
","
",,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Bruno I.
",1046,1065,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Reiner
",1065,1066,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Craft
",1066,1066,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Hl. Benno
",1066,1106,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Herwig
",1106,1119,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Grambert
","
","
",,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Godebold
",1119,1140,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Reinward
",1140,1150,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Berthold
","
","
",,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Albrecht I.
",1150,1152,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Bruno II.
","
","
",,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Gerung
",1152,1170,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Martin
",1170,1190,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Dietrich II. von Kittlitz
",1191,1208,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Bruno II. von Porstendorf
",1209,1228,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Heinrich
",1228,1240,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Konrad I. von Wallhausen
",1240,1258,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Albrecht II. von Mutzschen
",1258,1266,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Withego I. von Furra
",1266,1293,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Bernhard von Kamenz
",1293,1296,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Albrecht III. von Leisnig
",1296,1312,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Withego II. von Colditz
",1312,1342,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann I. von Isenburg
",1342,1370,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Dietrich von Schönberg
",1370,1370,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Konrad II. von Kirchberg-Wallhausen
",1370,1375,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann II. von Jenstein
",1375,1379,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Nikolaus I.
",1379,1392,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann III. von Kittlitz
",1392,1398,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Thimo von Colditz
",1399,1410,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Rudolf von der Planitz
",1411,1427,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johannes IV. Hoffmann von Schweidnitz
",1427,1451,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Caspar von Schönberg
",1451,1463,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Dietrich III. von Schönberg
",1463,1476,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann V. von Weißenbach
",1476,1487,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann VI. von Saalhausen
",1487,1518,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann VII. von Schleinitz
",1518,1537,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann VIII. von Maltitz
",1537,1549,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Nicolaus II. von Carlowitz
",1550,1555,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Johann IX. von Haugwitz
",1555,1559/81,,,,0,Liste_der_Bischöfe_von_Dresden-Meißen
"Hl. Willibald
",741,787?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Gerhoh
",787?,806?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Agan
",806?,822?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Adalung
",822?,837?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Altwin
",837?,847?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Otgar
",847?,880?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Gottschalk
",880?,882?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Erchanbald
",882?,912,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Odalfried
",912,933,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Starchand
",933,966,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Reginold
",966,991,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Megingaud
",991,1015?,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Gundekar I.
",1015?,1019,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Walther
",1020,1021,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Heribert
",1022,1042,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Gezemann
",1042,1042,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Gebhard I.
",1042,1057,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Sel. Gundekar II.
",1057,1075,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Udalrich I.
",1075,1099,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Eberhard I. Graf von Hildrizhausen
",1099,1112,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Udalrich II.
",1112,1125,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Gebhard II. Graf von Grögling
",1125,1149,,,,0,Liste_der_Bischöfe_von_Eichstätt
"Walbrun
",1149,1149,,,"https://de.wikipedia.org/""#cite_note-Erklärung-1",0,Liste_der_Bischöfe_von_Eichstätt
"Burchard
",1149,1153,,,,0,Liste_der_Bischöfe_von_Eichstätt
