,Savona-Noli,,,,,,
,Segni,,,,,,
,Senigallia,,,,,,
,Sessa Aurunca,,,,,,
,Severina,,,,,,
,Severo,,,,,,
,Siena,,,,,,
,Siracusa,,,,,,
,Sora-Aquino-Pontecorvo,,,,,,
,Spezia-Sarzana-Brugnato,,,,,,
,Spoleto-Norcia,,,,,,
,Stabia,,,,,,
,Sulmona-Valva,,,,,,
,Sutri,,,,,,
,Tadino,,,,,,
,Taranto,,,,,,
,Teano,,,,,,
,Teano-Calvi,,,,,,
,Tempio-Ampurias,,,,,,
,Teramo-Atri,,,,,,
,Terme,,,,,,
,Termoli-Larino,,,,,,
,Terni-Narni-Amelia,,,,,,
,Tirreni,,,,,,
,Tivoli,,,,,,
,Torcello,,,,,,
,Tortona,,,,,,
,Trani-Barletta-Bisceglie,,,,,,
,Trento,,,,,,
,Treviso,,,,,,
,Tricarico,,,,,,
,Trieste,,,,,,
,Trivento,,,,,,
,Tronto-Ripatransone-Montalto,,,,,,
,Turin,,,,,,
,Tursi-Lagonegro,,,,,,
,Vado,,,,,,
,Vallo,,,,,,
,Velletri,,,,,,
,Veneto,,,,,,
,Venice,,,,,,
,Vercelli,,,,,,
,Verona,,,,,,
,Vicenza,,,,,,
,Vieste,,,,,,
,Vigevano,,,,,,
,Viterbo,,,,,,
,Volterra,,,,,,
,Zadar,,,,,,
,all'Jonio,,,,,,
,,,,,,,
,,,,,,,
